user_id,fav_genre_plays,fav_genre,total_plays,loyalty_score
user_39,4,Hip-Hop,5,0.8
user_75,3,Jazz,4,0.75
user_28,4,Classical,6,0.6666666666666666
user_30,4,Classical,6,0.6666666666666666
user_68,5,Classical,8,0.625
user_33,3,Classical,5,0.6
user_96,3,Classical,5,0.6
user_52,5,Classical,9,0.5555555555555556
user_81,6,Jazz,11,0.5454545454545454
user_16,4,Hip-Hop,8,0.5
user_36,5,Jazz,10,0.5
user_4,4,Classical,8,0.5
user_40,4,Jazz,8,0.5
user_45,2,Jazz,4,0.5
user_64,6,Jazz,12,0.5
user_67,3,Rock,6,0.5
user_74,5,Rock,10,0.5
user_8,6,Jazz,12,0.5
user_82,6,Classical,12,0.5
user_69,6,Classical,13,0.46153846153846156
user_88,5,Hip-Hop,11,0.45454545454545453
user_12,8,Jazz,18,0.4444444444444444
user_37,4,Rock,9,0.4444444444444444
user_55,4,Classical,9,0.4444444444444444
user_70,4,Hip-Hop,9,0.4444444444444444
user_72,8,Classical,18,0.4444444444444444
user_10,3,Classical,7,0.42857142857142855
user_32,6,Classical,14,0.42857142857142855
user_61,3,Classical,7,0.42857142857142855
user_99,6,Rock,14,0.42857142857142855
user_18,5,Rock,12,0.4166666666666667
user_47,5,Rock,12,0.4166666666666667
user_86,5,Classical,12,0.4166666666666667
user_94,5,Hip-Hop,12,0.4166666666666667
user_98,5,Hip-Hop,12,0.4166666666666667
user_2,4,Rock,10,0.4
user_26,2,Hip-Hop,5,0.4
user_34,2,Pop,5,0.4
user_46,2,Classical,5,0.4
user_7,2,Rock,5,0.4
user_73,4,Classical,10,0.4
user_87,6,Classical,15,0.4
user_85,5,Pop,13,0.38461538461538464
user_35,3,Classical,8,0.375
user_50,3,Hip-Hop,8,0.375
user_56,3,Rock,8,0.375
user_63,3,Jazz,8,0.375
user_79,3,Classical,8,0.375
user_11,4,Hip-Hop,11,0.36363636363636365
user_17,4,Classical,11,0.36363636363636365
user_22,4,Jazz,11,0.36363636363636365
user_29,4,Pop,11,0.36363636363636365
user_38,4,Classical,11,0.36363636363636365
user_41,4,Classical,11,0.36363636363636365
user_48,4,Pop,11,0.36363636363636365
user_57,4,Jazz,11,0.36363636363636365
user_58,4,Rock,11,0.36363636363636365
user_65,4,Classical,11,0.36363636363636365
user_1,4,Pop,12,0.3333333333333333
user_100,3,Jazz,9,0.3333333333333333
user_13,4,Rock,12,0.3333333333333333
user_14,4,Jazz,12,0.3333333333333333
user_20,4,Classical,12,0.3333333333333333
user_21,4,Jazz,12,0.3333333333333333
user_24,2,Classical,6,0.3333333333333333
user_27,3,Classical,9,0.3333333333333333
user_43,3,Rock,9,0.3333333333333333
user_44,3,Hip-Hop,9,0.3333333333333333
user_49,3,Hip-Hop,9,0.3333333333333333
user_51,3,Classical,9,0.3333333333333333
user_62,3,Classical,9,0.3333333333333333
user_66,3,Classical,9,0.3333333333333333
user_77,3,Classical,9,0.3333333333333333
user_78,3,Jazz,9,0.3333333333333333
user_80,2,Jazz,6,0.3333333333333333
user_84,5,Jazz,15,0.3333333333333333
user_89,3,Pop,9,0.3333333333333333
user_90,4,Rock,12,0.3333333333333333
user_95,2,Hip-Hop,6,0.3333333333333333
user_71,5,Jazz,16,0.3125
user_97,5,Pop,16,0.3125
user_92,4,Classical,13,0.3076923076923077
user_25,3,Hip-Hop,10,0.3
user_3,3,Classical,10,0.3
user_31,3,Classical,10,0.3
user_5,3,Pop,10,0.3
user_60,3,Hip-Hop,10,0.3
user_76,3,Jazz,10,0.3
user_91,3,Pop,10,0.3
user_59,5,Classical,17,0.29411764705882354
user_19,2,Hip-Hop,7,0.2857142857142857
user_83,4,Jazz,14,0.2857142857142857
user_15,3,Classical,11,0.2727272727272727
user_54,3,Classical,11,0.2727272727272727
user_9,3,Classical,11,0.2727272727272727
user_6,4,Hip-Hop,15,0.26666666666666666
user_23,4,Classical,16,0.25
user_42,2,Hip-Hop,9,0.2222222222222222
user_53,2,Classical,9,0.2222222222222222
user_93,1,Classical,5,0.2
